Month,Messages,Opens,Clicks,Open_Rate_%,Click_Rate_%,Purchase_Rate_%,CTOR_%
2021-04,5156,689,10,13.36,0.19,0.04,1.45
2021-05,17497,2913,438,16.650000000000002,2.5,0.13999999999999999,15.04
2021-06,10117,2011,327,19.88,3.2300000000000004,0.29,16.26
2021-07,21107,3313,407,15.7,1.9300000000000002,0.06999999999999999,12.28
2021-08,21082,3689,818,17.5,3.88,0.11,22.17
2021-09,16621,2641,571,15.89,3.44,0.22999999999999998,21.62
2021-10,33992,5534,1079,16.28,3.17,0.21,19.5
2021-11,43393,5553,942,12.8,2.17,0.09,16.96
2021-12,56731,8746,914,15.42,1.6099999999999999,0.05,10.45
2022-01,76977,6323,689,8.21,0.8999999999999999,0.02,10.9
2022-02,91933,8307,674,9.04,0.73,0.03,8.11
2022-03,53131,10181,758,19.16,1.43,0.06999999999999999,7.45
2022-04,83806,16003,796,19.1,0.95,0.03,4.97
2022-05,55229,12331,647,22.33,1.17,0.04,5.25
2022-06,87986,17970,945,20.419999999999998,1.0699999999999998,0.06,5.26
2022-07,82432,18956,712,23.0,0.86,0.03,3.76
2022-08,71738,16363,563,22.81,0.7799999999999999,0.04,3.44
2022-09,68418,15449,563,22.58,0.8200000000000001,0.02,3.64
2022-10,113183,22522,558,19.900000000000002,0.49,0.0,2.48
2022-11,119377,24740,1172,20.72,0.98,0.02,4.74
2022-12,171942,30696,973,17.849999999999998,0.5700000000000001,0.01,3.17
2023-01,121346,23055,877,19.0,0.72,0.0,3.8
2023-02,93835,19968,651,21.279999999999998,0.69,0.0,3.26
2023-03,112289,26702,818,23.78,0.73,0.02,3.06
2023-04,57147,10931,925,19.13,1.6199999999999999,0.03,8.46
