Month,Messages,Opens,Clicks,Open_Rate_%,Click_Rate_%,Purchase_Rate_%,CTOR_%
2021-04,2536,351,0,13.84,0.0,0.0,0.0
2021-05,12229,1764,167,14.42,1.37,0.03,9.47
2021-06,5940,1199,126,20.19,2.12,0.13,10.51
2021-07,18109,2727,274,15.06,1.51,0.03,10.05
2021-08,17373,3024,637,17.41,3.6700000000000004,0.06,21.06
2021-09,11317,1655,334,14.62,2.9499999999999997,0.1,20.18
2021-10,28910,4385,781,15.17,2.7,0.12,17.81
2021-11,38538,4525,731,11.74,1.9,0.05,16.15
2021-12,51814,7790,717,15.03,1.38,0.02,9.2
2022-01,73682,5732,588,7.779999999999999,0.8,0.01,10.26
2022-02,89083,7746,556,8.7,0.62,0.02,7.18
2022-03,47954,8685,547,18.11,1.1400000000000001,0.04,6.3
2022-04,79042,14935,626,18.9,0.79,0.02,4.19
2022-05,51039,11341,512,22.220000000000002,1.0,0.01,4.51
2022-06,82654,16524,800,19.99,0.97,0.04,4.84
2022-07,77852,17794,573,22.86,0.74,0.02,3.22
2022-08,65997,14565,383,22.07,0.58,0.02,2.63
2022-09,61903,13107,392,21.17,0.63,0.01,2.99
2022-10,109230,20883,410,19.12,0.38,0.0,1.96
2022-11,113262,23267,873,20.54,0.77,0.01,3.75
2022-12,166977,29604,771,17.73,0.45999999999999996,0.0,2.6
2023-01,117499,21990,683,18.72,0.58,0.0,3.11
2023-02,90032,18711,484,20.78,0.54,0.0,2.59
2023-03,102586,22634,477,22.06,0.45999999999999996,0.01,2.11
2023-04,47454,6586,666,13.88,1.4000000000000001,0.01,10.11
